Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.2402 | Loop Time: 25.75 | Pressure: 3.08 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.77 | Pressure: 3.13 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.79 | Pressure: 3.11 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.81 | Pressure: 3.09 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.83 | Pressure: 3.13 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.85 | Pressure: 3.15 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.87 | Pressure: 3.15 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.89 | Pressure: 3.21 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.91 | Pressure: 3.17 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.93 | Pressure: 3.25 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.95 | Pressure: 3.27 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.96 | Pressure: 5.20 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.98 | Pressure: 5.14 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.00 | Pressure: 3.39 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.02 | Pressure: 3.39 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.04 | Pressure: 3.30 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.06 | Pressure: 3.36 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.08 | Pressure: 3.42 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.10 | Pressure: 3.47 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.12 | Pressure: 3.43 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.14 | Pressure: 3.44 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.15 | Pressure: 3.41 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.17 | Pressure: 3.50 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.19 | Pressure: 3.59 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.21 | Pressure: 3.55 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.23 | Pressure: 3.51 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.25 | Pressure: 3.50 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.27 | Pressure: 3.60 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.29 | Pressure: 3.70 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.31 | Pressure: 3.70 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.32 | Pressure: 3.61 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.34 | Pressure: 3.64 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.36 | Pressure: 4.52 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.38 | Pressure: 3.67 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.40 | Pressure: 3.74 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.42 | Pressure: 3.77 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.44 | Pressure: 3.74 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.46 | Pressure: 3.75 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 26.48 | Pressure: 3.86 | Solenoid: PRESSURIZE
