Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
6704
Loop Step: 0.0060 | Loop Time: 125.0080 | Pressure: 0.01613098
Loop Step: 0.0060 | Loop Time: 125.0140 | Pressure: -0.03721375
Loop Step: 0.0060 | Loop Time: 125.0200 | Pressure: 0.00282532
Loop Step: 0.0060 | Loop Time: 125.0260 | Pressure: 0.00691467
Loop Step: 0.0060 | Loop Time: 125.0320 | Pressure: -0.00565857
Loop Step: 0.0060 | Loop Time: 125.0380 | Pressure: 0.02150208
Loop Step: 0.0060 | Loop Time: 125.0440 | Pressure: -0.04533142
Loop Step: 0.0060 | Loop Time: 125.0500 | Pressure: -0.12345642
Loop Step: 0.0060 | Loop Time: 125.0560 | Pressure: 0.04878479
Loop Step: 0.0060 | Loop Time: 125.0620 | Pressure: -0.12217468
Loop Step: 0.0060 | Loop Time: 125.0680 | Pressure: -0.06803650
Loop Step: 0.0060 | Loop Time: 125.0740 | Pressure: -0.05265564
Loop Step: 0.0060 | Loop Time: 125.0800 | Pressure: -0.04551453
Loop Step: 0.0060 | Loop Time: 125.0860 | Pressure: -0.07340759
Loop Step: 0.0060 | Loop Time: 125.0920 | Pressure: -0.04435486
Loop Step: 0.0060 | Loop Time: 125.0980 | Pressure: -0.04563660
Loop Step: 0.0060 | Loop Time: 125.1040 | Pressure: -0.07066101
Loop Step: 0.0060 | Loop Time: 125.1100 | Pressure: -0.02195496
Loop Step: 0.0060 | Loop Time: 125.1160 | Pressure: 0.00007874
Loop Step: 0.0060 | Loop Time: 125.1220 | Pressure: -0.08805603
Loop Step: 0.0060 | Loop Time: 125.1280 | Pressure: -0.00388855
Button 1 click.
Starting pressurize!
Button 1 click.
Loop Step: 0.0060 | Loop Time: 125.1340 | Pressure: 0.01039368
Loop Step: 0.0060 | Loop Time: 125.1400 | Pressure: -0.07493347
Loop Step: 0.0060 | Loop Time: 125.1460 | Pressure: -0.02592224
Loop Step: 0.0060 | Loop Time: 125.1520 | Pressure: -0.00779480
Loop Step: 0.0060 | Loop Time: 125.1580 | Pressure: -0.02171082
Loop Step: 0.0060 | Loop Time: 125.1640 | Pressure: -0.10343689
Loop Step: 0.0060 | Loop Time: 125.1700 | Pressure: 0.04963928
Loop Step: 0.0060 | Loop Time: 125.1760 | Pressure: 0.01283508
Loop Step: 0.0060 | Loop Time: 125.1820 | Pressure: -0.02854675
Loop Step: 0.0060 | Loop Time: 125.1880 | Pressure: -0.03635925
Loop Step: 0.0060 | Loop Time: 125.1940 | Pressure: 0.02412659
Loop Step: 0.0060 | Loop Time: 125.2000 | Pressure: -0.02268738
Loop Step: 0.0060 | Loop Time: 125.2060 | Pressure: 0.01307922
Loop Step: 0.0060 | Loop Time: 125.2120 | Pressure: 0.03016907
Loop Step: 0.0060 | Loop Time: 125.2180 | Pressure: 0.02479797
Loop Step: 0.0060 | Loop Time: 125.2240 | Pressure: 0.16041809
Loop Step: 0.0060 | Loop Time: 125.2300 | Pressure: 0.07820374
Loop Step: 0.0060 | Loop Time: 125.2360 | Pressure: 0.14076477
Loop Step: 0.0060 | Loop Time: 125.2420 | Pressure: 0.09102112
Loop Step: 0.0060 | Loop Time: 125.2480 | Pressure: 0.05159241
Loop Step: 0.0060 | Loop Time: 125.2540 | Pressure: 0.10951477
Loop Step: 0.0060 | Loop Time: 125.2600 | Pressure: 0.05543762
Loop Step: 0.0060 | Loop Time: 125.2660 | Pressure: 0.07869202
Loop Step: 0.0060 | Loop Time: 125.2720 | Pressure: 0.07972961
Loop Step: 0.0060 | Loop Time: 125.2780 | Pressure: 0.12031799
Loop Step: 0.0060 | Loop Time: 125.2840 | Pressure: 0.10615784
Loop Step: 0.0060 | Loop Time: 125.2900 | Pressure: 0.10573059
Loop Step: 0.0060 | Loop Time: 125.2960 | Pressure: 0.13575989
Loop Step: 0.0060 | Loop Time: 125.3020 | Pressure: 0.18300110
Loop Step: 0.0060 | Loop Time: 125.3080 | Pressure: 0.18074280
Loop Step: 0.0060 | Loop Time: 125.3140 | Pressure: 0.14888245
Loop Step: 0.0060 | Loop Time: 125.3200 | Pressure: 0.24153381
Loop Step: 0.0060 | Loop Time: 125.3260 | Pressure: 0.11195618
Loop Step: 0.0060 | Loop Time: 125.3320 | Pressure: 0.14296204
