Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.0060 | Loop Time: 70.3050 | Pressure: 1.21406372
Loop Step: 0.0060 | Loop Time: 70.3110 | Pressure: 1.22718628
Loop Step: 0.0060 | Loop Time: 70.3170 | Pressure: 1.22077759
Loop Step: 0.0060 | Loop Time: 70.3230 | Pressure: 1.17054565
Loop Step: 0.0060 | Loop Time: 70.3290 | Pressure: 1.17500122
Loop Step: 0.0060 | Loop Time: 70.3350 | Pressure: 1.19679077
Loop Step: 0.0060 | Loop Time: 70.3410 | Pressure: 1.19160278
Loop Step: 0.0060 | Loop Time: 70.3470 | Pressure: 1.21186646
Loop Step: 0.0060 | Loop Time: 70.3530 | Pressure: 1.22157104
Loop Step: 0.0060 | Loop Time: 70.3590 | Pressure: 1.24519165
Loop Step: 0.0060 | Loop Time: 70.3650 | Pressure: 1.23969849
Loop Step: 0.0060 | Loop Time: 70.3710 | Pressure: 1.24567993
Loop Step: 0.0060 | Loop Time: 70.3770 | Pressure: 0.31983765
Loop Step: 0.0060 | Loop Time: 70.3830 | Pressure: -0.18376343
Loop Step: 0.0060 | Loop Time: 70.3890 | Pressure: 0.06080444
Loop Step: 0.0060 | Loop Time: 70.3950 | Pressure: -0.08903687
Loop Step: 0.0060 | Loop Time: 70.4010 | Pressure: 1.19178589
Loop Step: 0.0060 | Loop Time: 70.4070 | Pressure: 1.15321167
Loop Step: 0.0060 | Loop Time: 70.4130 | Pressure: 1.22877319
Loop Step: 0.0060 | Loop Time: 70.4190 | Pressure: 1.21760376
Loop Step: 0.0060 | Loop Time: 70.4250 | Pressure: 1.14576538
Loop Step: 0.0060 | Loop Time: 70.4310 | Pressure: 1.15577515
Loop Step: 0.0060 | Loop Time: 70.4370 | Pressure: 1.13307007
Loop Step: 0.0060 | Loop Time: 70.4430 | Pressure: 1.16981323
Loop Step: 0.0060 | Loop Time: 70.4490 | Pressure: 1.20777710
Loop Step: 0.0060 | Loop Time: 70.4550 | Pressure: 1.25092896
Loop Step: 0.0060 | Loop Time: 70.4610 | Pressure: 1.24763306
Loop Step: 0.0060 | Loop Time: 70.4670 | Pressure: 1.19605835
Loop Step: 0.0060 | Loop Time: 70.4730 | Pressure: 1.14704712
Loop Step: 0.0060 | Loop Time: 70.4790 | Pressure: -0.03349487
Loop Step: 0.0060 | Loop Time: 70.4850 | Pressure: 1.18372925
Loop Step: 0.0060 | Loop Time: 70.4910 | Pressure: 1.21265991
Loop Step: 0.0060 | Loop Time: 70.4970 | Pressure: 1.18800171
Loop Step: 0.0060 | Loop Time: 70.5030 | Pressure: 1.19679077
Loop Step: 0.0060 | Loop Time: 70.5090 | Pressure: 1.23463257
Loop Step: 0.0060 | Loop Time: 70.5150 | Pressure: 1.17719849
Loop Step: 0.0060 | Loop Time: 70.5210 | Pressure: 1.19447144
Loop Step: 0.0060 | Loop Time: 70.5270 | Pressure: 1.16432007
Loop Step: 0.0060 | Loop Time: 70.5330 | Pressure: 1.20203979
Loop Step: 0.0060 | Loop Time: 70.5390 | Pressure: 1.16975220
Loop Step: 0.0060 | Loop Time: 70.5450 | Pressure: 1.24061401
Loop Step: 0.0060 | Loop Time: 70.5510 | Pressure: 1.13795288
Loop Step: 0.0060 | Loop Time: 70.5570 | Pressure: 1.17188843
Loop Step: 0.0060 | Loop Time: 70.5630 | Pressure: 1.10963257
Loop Step: 0.0060 | Loop Time: 70.5690 | Pressure: 1.18952759
Loop Step: 0.0060 | Loop Time: 70.5750 | Pressure: 1.16193970
Loop Step: 0.0060 | Loop Time: 70.5810 | Pressure: 0.03883179
Loop Step: 0.0060 | Loop Time: 70.5870 | Pressure: 1.10011108
Loop Step: 0.0060 | Loop Time: 70.5930 | Pressure: 1.12861450
Loop Step: 0.0060 | Loop Time: 70.5990 | Pressure: 1.15870483
Loop Step: 0.0060 | Loop Time: 70.6050 | Pressure: 1.11555298
Loop Step: 0.0060 | Loop Time: 70.6110 | Pressure: 1.17439087
Button 1 click.
Starting pressurize!
Loop Step: 0.0060 | Loop Time: 70.6170 | Pressure: 1.13307007
