Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
e: 39.66 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.91 | Pressure: 0.03 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 41.93 | Pressure: 0.04 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 41.94 | Pressure: 0.17 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 41.96 | Pressure: 0.29 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 41.98 | Pressure: 0.14 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.00 | Pressure: 0.17 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.02 | Pressure: 0.17 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.03 | Pressure: 0.30 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.05 | Pressure: 0.24 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.07 | Pressure: 0.26 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.09 | Pressure: 0.21 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.11 | Pressure: 0.23 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.12 | Pressure: 0.24 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.14 | Pressure: 0.17 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.16 | Pressure: 0.31 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.18 | Pressure: 0.27 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.20 | Pressure: 0.24 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.21 | Pressure: 0.34 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 42.23 | Pressure: 0.37 | Solenoid: PRESSURIZE
