Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.018 | Loop Time: 36.81 | Pressure: 1.38 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.83 | Pressure: 1.34 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.85 | Pressure: 1.72 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.87 | Pressure: 1.38 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.88 | Pressure: 1.38 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.90 | Pressure: 1.37 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.92 | Pressure: 1.35 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.94 | Pressure: 1.38 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.96 | Pressure: 1.35 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.97 | Pressure: 1.40 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.99 | Pressure: 1.37 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.01 | Pressure: 1.37 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.03 | Pressure: 1.35 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.05 | Pressure: 1.39 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.06 | Pressure: 1.45 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.08 | Pressure: 1.36 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.10 | Pressure: 1.36 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.12 | Pressure: 1.50 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.14 | Pressure: 1.41 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.15 | Pressure: 1.75 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.17 | Pressure: 1.47 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.19 | Pressure: 1.42 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.21 | Pressure: 1.42 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.23 | Pressure: 1.43 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.24 | Pressure: 1.49 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.26 | Pressure: 1.37 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.28 | Pressure: 1.45 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 37.30 | Pressure: 1.47 | Solenoid: PRESSURIZE
